SquareFeet,Bedrooms,Bathrooms,YearBuilt,LotSize,GarageCars,Neighborhood,OverallQuality,HasPool,DistanceToCityCenter_km,Stories,SalePrice
2123.0,3,2.5,1967,4842.0,1.0,Suburb,2,0,2.19,2,394000.0
1710.0,2,3.0,1959,12106.0,3.0,Suburb,4,1,2.38,1,418100.0
2221.0,3,3.5,1960,5944.0,1.0,Downtown,7,0,2.94,1,628600.0
2790.0,2,1.0,2014,9392.0,3.0,Lakeside,5,0,7.29,1,741400.0
1648.0,4,1.5,2014,3470.0,2.0,Rural,9,0,1.51,2,296600.0
1648.0,5,3.5,2001,7122.0,2.0,Uptown,10,0,0.88,2,540700.0
2826.0,2,2.0,2016,3044.0,0.0,Lakeside,7,1,9.09,2,732700.0
2299.0,6,2.5,1980,7003.0,3.0,Suburb,9,0,12.08,1,472600.0
1495.0,3,2.5,1966,8106.0,1.0,Downtown,9,0,5.56,2,491500.0
2153.0,3,2.5,2004,7512.0,2.0,Downtown,2,0,3.62,2,570600.0
1499.0,2,3.5,1985,5138.0,2.0,Uptown,1,1,4.53,1,368800.0
1497.0,3,4.0,1975,6687.0,1.0,Uptown,4,0,3.93,2,371100.0
1957.0,4,3.0,2002,6711.0,2.0,Suburb,4,1,25.75,1,377500.0
556.0,4,2.0,1966,7665.0,2.0,Downtown,2,0,11.69,2,274900.0
679.0,2,3.5,1974,5691.0,1.0,Downtown,3,0,1.87,1,262400.0
1435.0,2,1.0,1951,8328.0,2.0,Uptown,3,0,3.88,2,331100.0
1142.0,3,2.0,1954,9587.0,1.0,Downtown,5,0,6.28,3,378200.0
2004.0,3,3.5,1953,5205.0,1.0,Downtown,1,0,7.59,3,484600.0
1210.0,2,2.0,1985,6116.0,2.0,Suburb,9,0,5.05,1,331200.0
882.0,3,2.0,1955,3738.0,2.0,Uptown,8,0,13.29,2,317500.0
2753.0,4,1.5,1970,6851.0,1.0,Uptown,8,0,11.67,1,588800.0
1653.0,5,3.5,1975,6867.0,3.0,Suburb,3,0,5.63,2,358700.0
1844.0,3,2.5,2004,6145.0,3.0,Uptown,2,0,15.42,2,450900.0
874.0,5,2.5,1988,6333.0,2.0,Rural,1,0,11.13,1,147900.0
1446.0,3,2.0,1982,10805.0,2.0,Hillview,6,0,12.06,1,388600.0
1872.0,3,3.0,1963,500.0,1.0,Downtown,10,0,25.06,3,539800.0
1052.0,2,3.0,2005,4758.0,2.0,Uptown,1,0,2.48,2,355300.0
2044.0,4,2.0,1970,5141.0,2.0,Suburb,5,0,2.49,1,386100.0
1410.0,6,2.0,1995,9642.0,1.0,Downtown,9,0,17.58,1,498200.0
1610.0,4,2.0,1965,7188.0,2.0,Uptown,9,0,11.84,1,452200.0
1409.0,3,4.0,1965,7249.0,1.0,Suburb,4,1,20.89,2,323900.0
3004.0,4,2.5,1978,9150.0,0.0,Suburb,7,0,0.52,3,566300.0
1791.0,2,3.5,1957,5550.0,2.0,Suburb,7,1,7.91,2,406000.0
1112.0,5,2.0,1952,7631.0,2.0,Suburb,4,0,1.25,2,284500.0
2335.0,3,3.0,1968,4673.0,2.0,Suburb,5,0,5.61,2,434700.0
1006.0,3,3.0,2015,3367.0,2.0,Suburb,9,0,1.35,2,354500.0
1936.0,3,2.5,2023,10485.0,3.0,Uptown,7,0,1.1,1,522000.0
526.0,4,4.0,1971,6923.0,2.0,Lakeside,7,0,0.5,3,395700.0
937.0,2,2.0,1995,7612.0,2.0,Downtown,10,0,7.96,1,427400.0
1928.0,4,1.5,1962,3300.0,0.0,Rural,7,1,3.56,1,271800.0
2280.0,2,2.5,1982,7276.0,1.0,Lakeside,9,0,0.89,3,616800.0
1911.0,4,3.0,1954,10446.0,1.0,Downtown,5,0,3.12,1,560500.0
1725.0,4,2.5,1976,5306.0,2.0,Suburb,6,0,1.48,2,384800.0
1604.0,4,2.0,1973,2861.0,2.0,Lakeside,3,0,22.74,3,422900.0
839.0,3,2.5,2016,6460.0,1.0,Uptown,1,0,3.09,2,305000.0
1332.0,3,2.0,2012,3410.0,1.0,Downtown,2,0,3.25,1,383900.0
1501.0,2,2.0,1997,2106.0,1.0,Suburb,8,0,14.65,1,309700.0
2487.0,4,2.5,2012,4163.0,1.0,Rural,1,0,8.35,1,326800.0
2023.0,3,3.0,1961,4769.0,3.0,Hillview,10,0,9.91,2,487900.0
654.0,3,2.0,1977,3532.0,2.0,Downtown,7,0,8.08,2,311500.0
2011.0,3,2.0,1993,,1.0,Hillview,5,0,23.38,2,408200.0
1550.0,2,2.0,1992,10724.0,2.0,Suburb,6,0,1.86,2,347500.0
1360.0,4,1.5,1966,7545.0,2.0,Suburb,8,0,36.11,2,320700.0
2198.0,2,3.0,1989,6960.0,,Suburb,4,0,14.22,2,387600.0
2470.0,4,3.5,1998,5645.0,1.0,Uptown,6,0,7.11,2,567400.0
2405.0,3,2.0,2006,3759.0,2.0,Suburb,3,0,8.69,1,425300.0
1255.0,1,3.0,2013,10007.0,1.0,Suburb,7,1,8.37,2,378300.0
1599.0,3,3.5,2006,5843.0,2.0,Lakeside,2,0,0.5,2,518300.0
2015.0,1,3.0,2023,4844.0,2.0,Hillview,8,0,1.97,1,491800.0
2434.0,3,1.5,2023,8537.0,2.0,Suburb,7,0,26.05,1,460800.0
1489.0,4,4.0,2019,5816.0,1.0,Downtown,8,0,6.11,1,555400.0
1679.0,2,2.0,1992,8443.0,1.0,Lakeside,2,1,3.8,2,534000.0
1081.0,4,2.0,1972,4976.0,1.0,Uptown,3,0,11.49,1,290800.0
1022.0,1,1.0,1976,8544.0,3.0,Downtown,4,0,5.95,3,346000.0
2328.0,2,2.0,2007,8449.0,1.0,Hillview,9,0,0.5,2,532900.0
2682.0,4,1.5,1986,9312.0,0.0,Downtown,5,0,10.66,3,650800.0
1753.0,3,2.0,1955,4226.0,3.0,Uptown,6,0,10.54,1,425900.0
2452.0,2,2.0,2014,5792.0,2.0,Suburb,1,0,1.44,1,412100.0
2035.0,3,3.0,1955,10869.0,2.0,Rural,4,0,25.11,1,282000.0
1381.0,3,3.5,1999,5384.0,0.0,Suburb,4,0,2.03,1,366700.0
2035.0,4,2.0,1971,8028.0,2.0,Uptown,10,0,4.9,2,550300.0
2800.0,3,3.5,1974,11726.0,1.0,Hillview,8,0,0.97,1,564000.0
1777.0,4,3.5,2021,1377.0,2.0,Suburb,8,0,7.4,2,417900.0
2817.0,5,3.0,2000,5301.0,0.0,Rural,10,0,3.77,1,418300.0
400.0,3,1.5,1997,6005.0,2.0,Suburb,6,1,3.49,2,228800.0
2334.0,5,2.5,2019,1503.0,2.0,Lakeside,8,0,14.03,2,693700.0
1857.0,3,3.5,2014,4860.0,2.0,Hillview,9,1,0.5,2,517600.0
1606.0,6,2.5,2009,3572.0,2.0,Lakeside,5,0,12.79,2,553800.0
1860.0,2,2.0,1995,8144.0,0.0,Rural,1,0,6.78,1,250700.0
508.0,4,2.5,1985,1668.0,1.0,Hillview,1,0,34.21,3,177100.0
1657.0,3,2.5,2007,10723.0,2.0,Downtown,2,0,7.12,2,456300.0
2032.0,3,2.5,1987,7725.0,2.0,Suburb,2,1,0.5,2,402400.0
2761.0,4,1.5,1960,3365.0,3.0,Rural,5,1,0.5,2,381200.0
1463.0,4,2.0,1961,8566.0,2.0,Suburb,7,0,17.18,3,348800.0
1274.0,1,3.0,1991,7492.0,2.0,Lakeside,7,0,14.72,2,452500.0
1474.0,2,3.5,1988,5903.0,3.0,Uptown,4,0,3.4,2,405000.0
2395.0,4,1.5,2020,4196.0,1.0,Downtown,4,1,7.7,2,598800.0
2014.0,4,4.0,1960,7369.0,2.0,Suburb,10,0,5.38,1,480900.0
1456.0,6,2.0,1985,6307.0,1.0,Suburb,3,0,27.33,2,272000.0
2134.0,4,2.5,2001,4277.0,1.0,Rural,2,0,23.96,2,257200.0
1863.0,6,3.0,1980,2642.0,2.0,Suburb,3,0,33.0,2,360400.0
2430.0,4,3.0,1982,3874.0,2.0,Downtown,8,0,16.11,2,650900.0
1344.0,3,3.5,1962,4742.0,2.0,Uptown,1,0,19.22,1,288800.0
1587.0,2,2.0,1967,8906.0,2.0,Lakeside,4,1,1.96,2,517800.0
1545.0,4,3.5,1990,8152.0,2.0,Hillview,7,0,14.22,3,430900.0
849.0,4,1.5,2007,4875.0,1.0,Hillview,5,0,9.87,2,291100.0
1992.0,1,3.0,2005,4972.0,2.0,Lakeside,2,0,26.33,1,498500.0
1970.0,3,3.0,1973,8478.0,2.0,Downtown,1,0,6.78,2,506100.0
1803.0,6,2.5,2022,6668.0,2.0,Lakeside,6,0,0.71,2,644100.0
1648.0,3,2.0,1980,6634.0,1.0,Suburb,5,0,7.28,2,353400.0
880.0,3,3.5,2004,4242.0,1.0,Uptown,3,0,9.28,2,310600.0
1527.0,3,1.5,1959,5691.0,2.0,Rural,9,0,1.99,3,271800.0
1577.0,2,1.0,2009,6011.0,2.0,Lakeside,3,0,4.01,2,465400.0
